NPTREF,latitude,longitude,type,RSTNAM,node,place,design,npd,Segement,cc,bc,bc1,greenspace,reach_target,near_station,freq,line,bus_route,bike_capacity,car_park,near_highway,sum_pop,sum_lab,entropy,poi_count,access_lane,intersection,pedstrain
9100ARDWICK,53.471206,-2.213369,railway,ARDWICK,0.571681108,0.267162017,0.393925184,0.41092277,Cluster4,0.818915174,0.670618213,6339,0.611465607,T,1.17149988,-2.564732417,-0.004381827,-0.177829759,-1.163891951,-0.809066862,1.125386985,-1.266021324,-1.491992645,0.48487576,-0.011892265,0.102226137,-0.456300703,-1.706443597
9100ASHBRYS,53.471867,-2.194752,railway,ASHBURYS,0.511894228,0.343621381,0.575721082,0.477078897,Cluster4,0.734331813,0.664946195,6191,0.522232093,T,1.214045217,1.360845723,1.167670573,-0.040088909,-1.163891951,-0.809066862,1.759405093,-0.631052232,-0.976023594,-1.605375756,-0.387219277,-0.414166548,0.616294932,0.241524196
9100ATHERTN,53.529109,-2.47799,railway,ATHERTON,0.273556485,0.522125966,0.273687057,0.356456503,Cluster2,0.435342688,0.498679594,2799,0.366457191,F,-1.516763201,0.85677404,-0.004381827,-0.477579955,-0.062365695,1.339333937,0.354673146,0.165476269,0.175284986,0.035816822,-0.895663113,-0.614569496,-1.308265475,-0.485234752
9100BAGE,53.421964,-2.215229,railway,BURNAGE,0.579618009,0.756181332,0.482187775,0.605995705,Cluster3,0.676340549,0.450232707,2118.5,0.581147766,T,0.801487929,0.85677404,-0.004381827,-0.177829759,0.679891785,-0.809066862,0.055860744,1.28196269,1.07712496,-0.294251919,0.322203805,-1.279522757,0.594812492,0.434568006
9100BLLVUE,53.461787,-2.180187,railway,BELLE VUE,0.542543966,0.582800316,0.52145165,0.548931977,Cluster3,0.638037196,0.456225658,2196,0.604625596,T,1.087268949,0.195554564,-0.004381827,0.768789535,-1.163891951,-0.809066862,1.302240609,0.648379737,0.13714985,0.003127296,-0.387219277,-1.362871804,0.501683809,1.503995582
9100BLRD,53.591184,-2.569805,railway,BLACKROD,0.028532244,0.378313668,0,0.135615304,Cluster2,0.103714329,0,0,0.373603385,F,-1.890080437,0.195554564,-2.230954685,-1.854500052,-1.163891951,1.344925264,0.243360296,-0.548421806,-0.348093207,-0.000257835,-1.59967154,-1.998845269,-1.774120921,-1.427903243
9100BMHL,53.360557,-2.163021,railway,BRAMHALL,0.305435319,0.54086954,0.128621466,0.324975442,Cluster2,0.295114469,0,0,0.599089686,T,-0.64596302,0.195554564,-2.230954685,-0.323282515,-0.203722105,-0.809066862,1.551780118,0.217391557,0.102701658,0.487331264,-0.45168402,-1.998845269,-1.308265475,-0.170802823
9100BOLTON,53.573558,-2.425152,railway,BOLTON INTERCHANGE,0.502590314,0.286048459,0.84132681,0.543321861,Cluster4,0.309001266,0.436520711,1948,0.543814383,T,-1.593380062,1.747855403,1.897850467,1.679609512,0.907659692,1.142393606,0.96765271,-1.306303088,-1.299485318,-5.154930063,1.345706357,0.7873552,1.313237432,0.91799321
9100BRBM,53.440791,-2.016625,railway,BROADBOTTOM,0.090007085,0.282668574,0.229231977,0.200635879,Cluster2,0.295114469,0,0,0.618809142,T,-1.322993643,0.85677404,-2.230954685,-1.331247526,-1.163891951,1.406094201,-0.276240236,-1.267411932,-1.132858941,-0.0132965,-0.387219277,-0.801642958,-1.033936734,-1.479015561
9100BREDBRY,53.423069,-2.110546,railway,BREDBURY,0.356494759,0.619497099,0.329121099,0.435037652,Cluster2,0.363412061,0.327058266,899,0.535657176,T,0.236384805,0.85677404,-0.004381827,-1.111903949,-0.203722105,1.406094201,-0.327108456,0.54889041,0.534197383,-0.193241312,-0.130346548,-1.142577526,-0.030509485,-1.191556496
9100BRMCRSS,53.613984,-2.41073,railway,BROMLEY CROSS,0.089924129,0.237431919,0.250161347,0.192505798,Cluster2,0.164817159,0,0,0.559529209,T,-1.861444757,0.195554564,-2.230954685,-0.642143821,-0.408740539,1.342156362,2.056619194,-1.32869763,-1.296319948,0.040680231,-1.024634757,-0.940925171,-1.308265475,-0.22257781
9100BRNGTN,53.431953,-2.134094,railway,BRINNINGTON,0.46020254,0.450349743,0.333977391,0.414843225,Cluster2,0.428938142,0.365503121,1208,0.733767377,T,0.567709241,0.85677404,-0.004381827,-0.912375533,-1.163891951,-0.809066862,-1.128389427,-0.05086031,-0.540413858,-0.008988782,-0.45168402,-0.098153914,-1.308265475,-0.493526097
9100BRYN,53.499644,-2.647723,railway,BRYN,0.27965791,0.578944518,0.183598083,0.34740017,Cluster2,0.119180408,0,0,0.561826612,T,-1.929165451,0.195554564,-2.230954685,0.335274251,-1.163891951,-0.809066862,-0.751214964,0.307217392,0.210736924,0.333532336,0.088909027,-0.802465264,-1.774120921,-0.671385462
9100CHASNRD,53.446192,-2.368172,railway,CHASSEN ROAD,0.408301634,0.72695931,0.277105894,0.470788946,Cluster3,0.485635044,0.298375271,706,0.704737091,T,-0.104529636,0.195554564,-0.004381827,-0.818796389,-1.163891951,-0.809066862,0.020389519,0.550921793,0.648526209,7.211642198,0.753457946,-1.998845269,0.19460958,-0.821161766
9100CHDH,53.376277,-2.188078,railway,CHEADLE HULME,0.336685825,0.677597113,0.316332058,0.443538332,Cluster2,0.409564543,0.22813306,353,0.522560522,T,-0.038639249,1.224737646,-0.004381827,-0.642143821,-0.203722105,1.406094201,0.386624853,0.604175918,0.734485883,0.455724528,0.610995688,-1.753783965,-0.030509485,-0.1473833
9100CLTN,53.522246,-2.313974,railway,CLIFTON,0.4210767,0.338200473,0.200963296,0.320080156,Cluster2,0.73947389,0.513150603,3027,0.666789894,T,0.380774414,-2.564732417,-0.004381827,-2.582269961,-1.163891951,-0.809066862,-0.400409728,-0.675794426,-0.833896144,0.224919407,-1.17737452,-0.171058959,-1.774120921,-1.676713217
9100CSTL,53.592167,-2.178128,railway,CASTLETON,0.285698522,0.503385109,0.265115915,0.351399849,Cluster2,0.142140578,0.488054412,2639,0.568546938,T,-1.138668464,0.587110322,-0.004381827,-0.728825333,-1.163891951,0.79118299,-0.631660618,-0.094359158,-0.094908686,0.081569712,-0.088550877,-0.369636885,-1.774120921,-0.131093225
