NPTREF,latitude,longitude,RSTNAM,type,node,place,design,ave.NPD,Segement,closeness,betweenness,greenspace,reach_target
9100ARDWICK,53.471206,-2.213369,ARDWICK,railway,0.237573288,0.310215989,0.340191345,0.295993541,Cluster2,0.818915173,0.670618206,0.611465607,T
9100ASHBRYS,53.471867,-2.194752,ASHBURYS,railway,0.493829778,0.298197261,0.563939231,0.451988757,Cluster4,0.734331813,0.664946189,0.522232093,T
9100ATHERTN,53.529109,-2.47799,ATHERTON,railway,0.422761468,0.460158979,0.274885409,0.385935285,Cluster2,0.435342688,0.498679586,0.366457191,F
9100BAGE,53.421964,-2.215229,BURNAGE,railway,0.429287984,0.714230668,0.486493553,0.543337402,Cluster3,0.676340549,0.450232698,0.581147766,T
9100BLLVUE,53.461787,-2.180187,BELLE VUE,railway,0.393366888,0.538349306,0.55701148,0.496242558,Cluster3,0.638037196,0.456225649,0.604625596,T
9100BLRD,53.591184,-2.569805,BLACKROD,railway,0.166538057,0.300319181,0,0.155619079,Cluster2,0.103714329,0,0.373603385,F
9100BMHL,53.360557,-2.163021,BRAMHALL,railway,0.237453106,0.512447144,0.155168643,0.301689631,Cluster2,0.295114469,0,0.599089686,T
9100BOLTON,53.573558,-2.425152,BOLTON INTERCHANGE,railway,0.673446605,0.255656591,0.822195089,0.583766095,Cluster4,0.309001266,0.436520703,0.543814383,T
9100BRBM,53.440791,-2.016625,BROADBOTTOM,railway,0.228184204,0.288922636,0.20167755,0.239594797,Cluster2,0.295114469,0,0.618809142,T
9100BREDBRY,53.423069,-2.110546,BREDBURY,railway,0.477424282,0.578014352,0.29777132,0.451069985,Cluster3,0.36341206,0.327058258,0.535657177,T
9100BRMCRSS,53.613984,-2.41073,BROMLEY CROSS,railway,0.345822263,0.216970882,0.262409653,0.275067599,Cluster2,0.164817159,0,0.559529209,T
9100BRNGTN,53.431953,-2.134094,BRINNINGTON,railway,0.213900719,0.424581548,0.328652893,0.322378387,Cluster2,0.428938142,0.365503112,0.733767377,T
9100BRYN,53.499644,-2.647723,BRYN,railway,0,0.570437377,0.189363374,0.253266917,Cluster2,0.119180408,0,0.561826612,T
9100CHASNRD,53.446192,-2.368172,CHASSEN ROAD,railway,0.201984548,0.909259452,0.262649721,0.457964574,Cluster3,0.485635044,0.298375263,0.704737091,T
9100CHDH,53.376277,-2.188078,CHEADLE HULME,railway,0.526787997,0.684737909,0.3205397,0.510688535,Cluster3,0.409564543,0.228133052,0.522560523,T
