"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"Altrincham",0.000997589132181418,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Navigation Road",0.00345436753176403,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Timperley",0.00105317012462797,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Brooklands",0.000474755066403113,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Sale",0.000718026015841448,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Dane Road",0.00220402605256479,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Stretford",0.00750466124766281,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Old Trafford",0.0257940470129793,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Trafford Bar",0.0887266793941802,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Cornbrook",0.279413585863999,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Deansgate-Castlefield",0.864962255003957,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"St Peter's Square",0.432381177160967,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Market Street",0.202275700337719,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Shudehill",0.322260458289712,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Victoria",1,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Monsall",0.290692129795502,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Central Park",0.0845019143439454,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Newton Heath & Moston",0.0245640415229519,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Failsworth",0.00714057379085969,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Hollinwood",0.00207570944364391,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"South Chadderton",0.000603395290233761,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Freehold",0.000175412208066932,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Westwood",5.10251633975739e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Oldham King Street",1.49503154155043e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Oldham Central",4.75084161337029e-06,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Oldham Mumps",2.77392372380415e-06,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Derker",5.59799580024031e-06,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Shaw and Crompton",1.81108424584866e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Newhey",6.19691699513298e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Milnrow",0.000213081118224283,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Kingsway Business Park",0.000732984861956278,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Newbold",0.00252150783172729,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Rochdale Railway Station",0.00867415000772594,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Queens Road",0.29069212978456,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Abraham Moss",0.0845019143031245,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Crumpsall",0.024564041381601,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Bowker Vale",0.00714057330433456,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Heaton Park",0.00207570776988735,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Prestwich",0.000603389532378718,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Besses o'th'Barn",0.000175392400661229,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Whitefield",5.09570246204478e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Radcliffe",1.47159135507076e-05,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Exchange Square",0.383938404866527,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Piccadilly Gardens",0.161933064829331,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Piccadilly",0.171751858454876,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"New Islington",0.0499272820781313,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Holt Town",0.014514735793185,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Etihad Campus",0.00422368088388428,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Velopark",0.00124279437239874,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Clayton Hall",0.000412883845097025,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
"Edge Lane",0.000297575230054493,3.73075774396396,"I",177,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,4,1,50,0,29
