NPTREF,latitude,longitude,RSTNAM,node,place,design,Segement,dc,cc,bc,greenspace
9100ARDWICK,53.471206,-2.213369,ARDWICK,0.408174776,-1.290132361,0.153342995,Second,0.240994484,1.46760606,1.467263248,-0.885922117
9100ASHBRYS,53.471867,-2.194752,ASHBURYS,0.093245816,-0.905981035,0.290260587,Second,0.918812603,1.113613144,1.438104071,-1.000183093
9100ATHERTN,53.529109,-2.47799,ATHERTON,-1.162204493,-0.00912851,-1.206302605,First,0.523869923,-0.13769718,0.583346958,-1.38304632
9100BAGE,53.421964,-2.215229,BURNAGE,0.449982614,1.166825292,-0.293809332,Fourth,-0.137022369,0.870911782,0.334287184,1.017039362
9100BLLVUE,53.461787,-2.180187,BELLE VUE,0.254694119,0.295714886,-0.182228418,Fourth,-0.137022369,0.710607021,0.365096243,0.907305916
9100BLRD,53.591184,-2.569805,BLACKROD,-2.452876114,-0.731678145,-1.927439146,First,-0.667642295,-1.525607155,-1.980306404,-1.557704402
9100BMHL,53.360557,-2.163021,BRAMHALL,-0.994281899,0.085043982,-2.115126897,First,-0.137022369,-0.72457143,-1.980306404,0.486201994
9100BOLTON,53.573558,-2.425152,BOLTON INTERCHANGE,0.044237208,-1.195242065,1.413160911,Second,2.060349261,-0.666453287,0.263795423,-1.339352938
9100BRBM,53.440791,-2.016625,BROADBOTTOM,-2.129055772,-1.212223466,-1.576882612,First,-1.466108846,-0.72457143,-1.980306404,-0.823703909
9100BREDBRY,53.423069,-2.110546,BREDBURY,-0.725324961,0.480088876,-0.609634404,Fourth,0.240994484,-0.43873668,-0.29893818,-0.046542813
9100BRMCRSS,53.613984,-2.41073,BROMLEY CROSS,-2.129492747,-1.439503951,-1.52422816,First,-1.466108846,-1.269883468,-1.980306404,-1.282351914
9100BRNGTN,53.431953,-2.134094,BRINNINGTON,-0.179041504,-0.369750544,-0.814796726,First,0.523869923,-0.164501081,-0.101297688,2.024761911
9100BRYN,53.499644,-2.647723,BRYN,-1.130065077,0.276342374,-1.406119083,First,0.240994484,-1.460879501,-1.980306404,0.07856549
9100CHASNRD,53.446192,-2.368172,CHASSEN ROAD,-0.452430888,1.020006408,-0.831540986,Fourth,-0.667642295,0.0727832,-0.446394097,2.01622885
9100CHDH,53.376277,-2.188078,CHEADLE HULME,-0.829669042,0.771998152,-0.866875377,Fourth,1.062064464,-0.245582239,-0.807501073,-0.151867224
9100CLTN,53.522246,-2.313974,CLIFTON,-0.385137895,-0.933217057,-2.432728903,First,1.368248392,1.135133437,0.657740717,0.558293579
9100CSTL,53.592167,-2.178128,CASTLETON,-1.098245996,-0.103287353,-1.04944435,First,0.743452467,-1.364788055,0.528724142,-0.171417361
9100DAISYH,53.539371,-2.515317,DAISY HILL,-1.739627353,-0.277356567,-1.395390938,First,0.523869923,-0.551651657,0.373125693,-0.040854764
9100DAVNPRT,53.390889,-2.15252,DAVENPORT,-0.400059603,0.398462512,-0.156277082,Fourth,0.523869923,-0.245582239,-0.199480667,0.285032594
9100FLIXTON,53.443788,-2.383507,FLIXTON,-0.605707793,-0.614398006,-0.927032439,First,0.240994484,-0.164501081,-0.80489117,2.140151769
