source,target,weighted
Altrincham,Navigation Road,20
Navigation Road,Timperley,30
Timperley,Brooklands,30
Brooklands,Sale,30
Sale,Dane Road,60
Dane Road,Stretford,30
Stretford,Old Trafford,20
Old Trafford,Trafford Bar,30
Trafford Bar,Cornbrook,20
Cornbrook,Deansgate-Castlefield,20
Deansgate-Castlefield,St Peter's Square,20
St Peter's Square,Market Street,20
Market Street,Shudehill,30
Shudehill,Victoria,30
Victoria,Monsall,12
Monsall,Central Park,30
Central Park,Newton Heath & Moston,20
Newton Heath & Moston,Failsworth,30
Failsworth,Hollinwood,30
Hollinwood,South Chadderton,30
South Chadderton,Freehold,30
Freehold,Westwood,20
Westwood,Oldham King Street,30
Oldham King Street,Oldham Central,60
Oldham Central,Oldham Mumps,30
Oldham Mumps,Derker,30
Derker,Shaw and Crompton,15
Shaw and Crompton,Newhey,20
Newhey,Milnrow,30
Milnrow,Kingsway Business Park,30
Kingsway Business Park,Newbold,30
Newbold,Rochdale Railway Station,15
Rochdale Railway Station,Rochdale,20
Victoria,Queens Road,15
Queens Road,Abraham Moss,20
Abraham Moss,Crumpsall,30
Crumpsall,Bowker Vale,30
Bowker Vale,Heaton Park,30
Heaton Park,Prestwich,60
Prestwich,Besses o'th'Barn,30
Besses o'th'Barn,Whitefield,30
Whitefield,Radcliffe,20
Radcliffe,Bury,12
St Peter's Square,Exchange Square,20
Exchange Square,Victoria,20
St Peter's Square,Piccadilly Gardens,20
Piccadilly Gardens,Piccadilly,20
Piccadilly,New Islington,20
New Islington,Holt Town,30
Holt Town,Etihad Campus,60
Etihad Campus,Velopark,20
Velopark,Clayton Hall,20
Clayton Hall,Edge Lane,30
Edge Lane,Cemetery Road,20
Cemetery Road,Droylsden,30
Droylsden,Audenshaw,20
Audenshaw,Ashton Moss,30
Ashton Moss,Ashton West,20
Ashton West,Ashton-Under-Lyne,20
The Trafford Centre,Barton Dock Road,30
Barton Dock Road,Parkway,15
Parkway,Village,30
Village,Imperial War Museum,20
Imperial War Museum,Wharfside,30
Wharfside,Pomona,30
Pomona,Cornbrook,20
Eccles,Ladywell,60
Ladywell,Weaste,20
Weaste,Langworthy,20
Langworthy,Broadway,30
Broadway,MediaCityUK,30
MediaCityUK,Harbour City,30
Broadway,Harbour City,30
Harbour City,Anchorage,60
Anchorage,Salford Quays,30
Salford Quays,Exchange Quay,30
Exchange Quay,Pomona,30
East Didsbury,Didsbury Village,30
Didsbury Village,West Didsbury,30
West Didsbury,Burton Road,60
Burton Road,Withington,30
Withington,St Werburgh's Road,30
St Werburgh's Road,Chorlton,30
Chorlton,Firswood,60
Firswood,Trafford Bar,20
Shadowmoss,Peel Hall,30
Peel Hall,Robinswood Road,30
Robinswood Road,Wythenshawe Town Centre,30
Wythenshawe Town Centre,Crossacres,20
Crossacres,Benchill,60
Benchill,Martinscroft,15
Martinscroft,Roundthorn,30
Roundthorn,Baguley,60
Baguley,Moor Road,20
Moor Road,Wythenshawe Park,30
Wythenshawe Park,Northern Moor,30
Northern Moor,Sale Water Park,15
Sale Water Park,Barlow Moor Road,20
Barlow Moor Road,St Werburgh's Road,30
GATHURST,WIGAN WALLGATE,15
WIGAN WALLGATE,INCE,20
INCE,HINDLEY,20
HINDLEY,DAISY HILL,15
DAISY HILL,HAG FOLD,20
HAG FOLD,ATHERTON,30
ATHERTON,WALKDEN,12
WALKDEN,MOORSIDE,15
MOORSIDE,SWINTON,30
SWINTON,SALFORD CRESCENT,8.571429
SALFORD CRESCENT,SALFORD CENTRAL,30
SALFORD CENTRAL,Victoria,20
HINDLEY,WESTHOUGHTON,6
WESTHOUGHTON,BOLTON INTERCHANGE,3
ORRELL,PEMBERTON,20
PEMBERTON,WIGAN WALLGATE,15
WIGAN NORTH WESTERN,INCE,20
WIGAN NORTH WESTERN,BRYN,10
WIGAN NORTH WESTERN,PATRICROFT,2.5
PATRICROFT,Eccles,30
Eccles,Victoria,6.666667
BLACKROD,HORWICH PARKWAY,15
HORWICH PARKWAY,LOSTOCK,20
LOSTOCK,BOLTON INTERCHANGE,12
BOLTON INTERCHANGE,MOSES GATE,10
MOSES GATE,FARNWORTH,30
FARNWORTH,KEARSLEY,30
KEARSLEY,CLIFTON,7.5
CLIFTON,SALFORD CRESCENT,12
BROMLEY CROSS,HALL I'TH' WOOD,20
HALL I'TH' WOOD,BOLTON INTERCHANGE,12
LITTLEBOROUGH,SMITHY BRIDGE,30
SMITHY BRIDGE,Rochdale Railway Station,10
Rochdale Railway Station,CASTLETON,20
CASTLETON,MILLS HILL,12
MILLS HILL,MOSTON,15
MOSTON,Victoria,2.4
Eccles,Deansgate-Castlefield,8.571429
SALFORD CRESCENT,Deansgate-Castlefield,15
Victoria,Deansgate-Castlefield,10
GREENFIELD,MOSSLEY,15
MOSSLEY,STALYBRIDGE,15
STALYBRIDGE,Ashton-Under-Lyne,8.571429
Ashton-Under-Lyne,Victoria,2.142857
STALYBRIDGE,GUIDE BRIDGE,2.4
GUIDE BRIDGE,FAIRFIELD,30
FAIRFIELD,GORTON,60
GORTON,ASHBURYS,20
ASHBURYS,ARDWICK,20
ARDWICK,Piccadilly,20
Piccadilly,MANCHESTER OXFORD ROAD,30
MANCHESTER OXFORD ROAD,Deansgate-Castlefield,20
GUIDE BRIDGE,REDDISH SOUTH,5
REDDISH SOUTH,STOCKPORT,10
BROADBOTTOM,HATTERSLEY,20
HATTERSLEY,GODLEY,30
GODLEY,NEWTON FOR HYDE,30
NEWTON FOR HYDE,FLOWERY FIELD,30
FLOWERY FIELD,GUIDE BRIDGE,20
ROSE HILL,ROMILEY,20
MARPLE,ROMILEY,15
ROMILEY,WOODLEY,15
WOODLEY,HYDE CENTRAL,20
HYDE CENTRAL,HYDE NORTH,20
HYDE NORTH,GUIDE BRIDGE,15
ROMILEY,BREDBURY,20
BREDBURY,BRINNINGTON,20
BRINNINGTON,REDDISH NORTH,15
REDDISH NORTH,RYDER BROW,30
RYDER BROW,BELLE VUE,30
BELLE VUE,ASHBURYS,20
MIDDLEWOOD,HAZEL GROVE,15
HAZEL GROVE,WOODSMOOR,30
WOODSMOOR,DAVENPORT,30
DAVENPORT,STOCKPORT,12
STOCKPORT,HEATON CHAPEL,15
HEATON CHAPEL,LEVENSHULME,20
LEVENSHULME,Piccadilly,10
HEALD GREEN,GATLEY,20
GATLEY,East Didsbury,30
East Didsbury,BURNAGE,20
BURNAGE,MAULDETH ROAD,30
MAULDETH ROAD,Piccadilly,10
HALE,Altrincham,20
Navigation Road,STOCKPORT,4.285714
IRLAM,FLIXTON,15
FLIXTON,CHASSEN ROAD,30
CHASSEN ROAD,URMSTON,30
URMSTON,HUMPHREY PARK,20
HUMPHREY PARK,TRAFFORD PARK,30
TRAFFORD PARK,Deansgate-Castlefield,7.5
BRAMHALL,CHEADLE HULME,12
CHEADLE HULME,STOCKPORT,12
