NPTREF,dc,cc,bc,greenspace
9100ARDWICK,0.240994484,1.46760606,1.467263248,0.280761978
9100ASHBRYS,0.918812603,1.113613144,1.438104071,-0.33792376
9100ATHERTN,0.523869923,-0.13769718,0.583346958,-1.417963152
9100BAGE,-0.137022369,0.870911782,0.334287184,0.070558267
9100BLLVUE,-0.137022369,0.710607021,0.365096243,0.233337897
9100BLRD,-0.667642295,-1.525607155,-1.980306404,-1.368416205
9100BMHL,-0.137022369,-0.72457143,-1.980306404,0.19495559
9100BOLTON,2.060349261,-0.666453287,0.263795423,-0.188286538
9100BRBM,-1.466108846,-0.72457143,-1.980306404,0.33167716
9100BREDBRY,0.240994484,-0.43873668,-0.29893818,-0.244843175
9100BRMCRSS,-1.466108846,-1.269883468,-1.980306404,-0.079330405
9100BRNGTN,0.523869923,-0.164501081,-0.101297688,1.12872097
9100BRYN,0.240994484,-1.460879501,-1.980306404,-0.063401742
9100CHASNRD,-0.667642295,0.0727832,-0.446394097,0.92744431
9100CHDH,1.062064464,-0.245582239,-0.807501073,-0.335646648
9100CLTN,1.368248392,1.135133437,0.657740717,0.664343726
9100CSTL,0.743452467,-1.364788055,0.528724142,-0.016807476
9100DAISYH,0.523869923,-0.551651657,0.373125693,0.114141295
9100DAVNPRT,0.523869923,-0.245582239,-0.199480667,0.117118348
9100FLIXTON,0.240994484,-0.164501081,-0.80489117,1.470943459
9100FLWRYFD,-0.137022369,0.149932293,0.000875507,0.202542533
9100FRFD,-1.466108846,0.663945374,0.7291372,1.203425611
9100FRNW,-0.667642295,-0.005330656,0.444763567,0.867858287
9100GATHRST,-0.667642295,-1.49317629,-1.980306404,2.804789194
9100GATLEY,-0.137022369,0.375709438,-0.795831831,0.377419735
9100GFLD,-0.667642295,-1.723039274,-1.980306404,0.599582078
9100GIDB,2.149039541,0.497551326,0.817581096,-0.101034417
9100GODLY,-0.667642295,-0.272833991,-0.448053637,-0.58926264
9100GORTON,-0.667642295,0.756883679,0.801916086,-1.02165762
9100HAGFOLD,-0.137022369,-0.327677345,0.482714577,-0.740095198
