NPTREF,name,near_station,freq,line,bus_route,car_park,near_highway,sum_pop,sum_lab,poi_count,entropy,access_lane,bike_capacity,intersection,pedstrain,ave_gmal,dc,cc,bc,prp,greenspace
9400ZZMAABM,Abraham Moss,142,20,2,34,2,0.029578189,12574,3591,20,1.250720971,3.557799032,0,6,0.685543855,11.7769985,5,0.000187,3136,0.005116,17.34797001
9400ZZMAALT,Altrincham,92,160,2,25,45,0.053734644,6081,3258,138,0.416671074,1.007778453,58,36,0.729392678,19.18817597,6,0.000143,372,0.0058,49.68536019
9400ZZMAANC,Anchorage,142,5,2,35,0,0.006398775,7801,4490,225,0.838144465,2.980508584,16,256,0.626875755,11.25894361,3,0.000183,892.5,0.00498,11.9771307
9100ARDWICK,ARDWICK,147,1.875,2,25,0,0.038447586,1648,472,21,2.157233734,3.462620708,0,6,0.427932025,17.4155574,6,0.000219,6339,0.004625,39.25995637
9100ASHBRYS,ASHBURYS,148,105,3,27,0,0.057071744,3239,980,13,-1.748754195,2.330456018,0,32,0.691227962,14.90809325,9,0.000202,6191,0.007078,17.33847405
9400ZZMAAMO,Ashton Moss,135,10,2,11,395,0.007308906,1446,746,4,1.048853323,6.050926253,35,19,0.583026933,9.259736544,5,0.000127,623,0.005253,427.7241278
9400ZZMAAWT,Ashton West,123,10,2,22,195,0.006686274,3628,1203,10,1.041331968,4.648725772,40,31,0.628296782,12.6166791,6,0.000123,480.5,0.00494,109.5284866
9400ZZMAAUL,Ashton-Under-Lyne,118,35,3,43,35,0.018043724,4963,2159,46,1.060356673,4.290920913,131,56,0.873322377,23.00553964,37.000002,0.000124,1233,0.006564,20.43642931
9100ATHERTN,ATHERTON,55,60,2,21,70,0.024852,5808,2643,7,1.150809279,1.943329134,7,1,0.609823435,5.95431752,7,0.00015,2799,0.005379,5.131645262
9400ZZMAAUD,Audenshaw,139,10,2,17,0,0.006604492,4284,2133,12,1.089698468,3.547203292,40,21,0.741166898,10.64488865,5,0.000132,843,0.005424,52.73544345
9400ZZMABAG,Baguley,115,10,2,36,0,0.020185885,3651,1485,3,1.7270422,3.262772931,50,37,0.561102522,11.54814165,4,0.000131,3168,0.005646,38.99072292
9400ZZMABAR,Barlow Moor Road,137,10,2,32,0,0.018709334,7916,3852,36,1.328811982,8.295277432,0,36,0.699754122,9.674197504,5,0.000182,5018,0.005284,77.70952422
9400ZZMAEVC,Barton Dock Road,124,10,2,23,0,0.004985009,0,0,40,1.526819417,6.809090645,0,110,0.626266744,12.64619064,6,0.000148,363,0.006469,1.14E+01
9100BLLVUE,BELLE VUE,145,30,2,41,0,0.042632102,7649,2577,13,1.080704014,0.741212519,0,27,0.806737128,13.2826457,5,0.000184,2196,0.005125,36.69707618
9400ZZMABLL,Benchill,116,10,2,32,0,0.009817078,12797,5098,6,0.142233502,3.688140341,50,20,0.712543362,11.00361509,5,0.000114,2010,0.005732,10.88147584
9400ZZMABOB,Besses o'th'Barn,122,20,2,24,9,0.001884973,7536,3682,21,1.404342032,0.819286483,14,18,0.730407697,10.42969625,4,0.000147,1206,0.005907,23.26198886
9100BLRD,BLACKROD,22,30,1,8,72,0.023303516,3477,1801,3,1.073471095,0,0,0,0.476652938,5.824500597,4,0.000103,0,0.003479,5.410465702
9100BOLTON,BOLTON INTERCHANGE,50,165,4,62,30,0.035137562,1562,643,166,-6.495188515,5.279495601,70,88,0.756392184,32.38942591,36,0.000131,1948,0.01006,20.89203398
9400ZZMABOW,Bowker Vale,136,20,2,14,0,0.018944118,6905,2903,13,1.212808015,1.684933707,0,0,0.660168379,8.19137539,4,0.000167,2376,0.005534,56.81449393
9100BMHL,BRAMHALL,95,30,1,23,0,0.04968845,5996,2518,12,2.162941587,0,5,1,0.646770128,3.852141432,5,0.000129,0,0.003208,34.76939979
