NPTREF,node,place,design
9100ARDWICK,0.367145393,0.349990988,0.347598212
9100ASHBRYS,0.538912034,0.342626539,0.519418482
9100ATHERTN,0.491275524,0.441868222,0.297448538
9100BAGE,0.495650194,0.597550085,0.459946469
9100BLLVUE,0.471572576,0.489779171,0.51409853
9100BLRD,0.319531055,0.343926741,0.086358789
9100BMHL,0.367064836,0.473907679,0.20551575
9100BOLTON,0.659307732,0.316559838,0.717738082
9100BRBM,0.360851966,0.336943533,0.241230827
9100BREDBRY,0.527915563,0.51408384,0.315023066
9100BRMCRSS,0.4397038,0.292855256,0.287868167
9100BRNGTN,0.351277862,0.42006823,0.338737615
9100BRYN,0.20790195,0.509441065,0.231774536
9100CHASNRD,0.34329055,0.717053539,0.28805252
9100CHDH,0.56100366,0.579478462,0.332507339
9100CLTN,0.230356535,0.341744927,0.21841797
9100CSTL,0.382489021,0.460907888,0.301485032
9100DAISYH,0.428341149,0.418363714,0.295188587
9100DAVNPRT,0.387147832,0.572590138,0.515221811
9100FLIXTON,0.576543819,0.401704802,0.271866094
9100FLWRYFD,0.331638084,0.503316407,0.259372761
9100FRFD,0.363291847,0.339658964,0.336794863
9100FRNW,0.260163518,0.440568118,0.331672921
9100GATHRST,0.363503994,0.160233137,0.156140387
9100GATLEY,0.511943062,0.51844448,0.467294914
9100GFLD,0.425048544,0.365859498,0.397832884
9100GIDB,0.559823752,0.329493462,0.494473914
9100GODLY,0.326778155,0.351845053,0.356554984
9100GORTON,0.458122435,0.608674358,0.362599384
9100HAGFOLD,0.318736904,0.445486354,0.121438528
9100HALE,0.436552445,0.554111305,0.317140238
9100HATRSLY,0.444643587,0.260557095,0.142521981
9100HAZL,0.634923155,0.506242659,0.49076059
9100HINDLEY,0.491639453,0.370358176,0.14241159
9100HITW,0.346579362,0.398050621,0.493854023
9100HLDG,0.4669125,0.442059861,0.445178146
9100HMPHRYP,0.328422327,0.585142417,0.410662141
9100HORWICH,0.398339623,0.197329502,0.488815965
9100HTCP,0.468221039,0.593291673,0.540010704
9100HYDEC,0.416097476,0.40540331,0.537028981
9100HYDEN,0.435992266,0.495742566,0.31218482
9100INCE,0.386065165,0.319944439,0.426642525
9100IRLAM,0.509176635,0.318764593,0.390316099
9100KEARSLY,0.414876991,0.409223689,0.333786027
9100LITLBRO,0.402096412,0.375232909,0.315831912
9100LOSTCKP,0.432433982,0.335584278,0.319829103
9100LVHM,0.662978862,0.724504245,0.629041167
9100MARPLE,0.478942463,0.37967772,0.34417779
9100MDWD,0.243440595,0.191361723,0.195584261
9100MLDTHRD,0.624982578,0.5322025,0.503041478
9100MLSHILL,0.503676659,0.469796804,0.44312334
9100MNCROXR,0.620065526,0.772654608,0.81494794
9100MOSSLEY,0.52589799,0.462943987,0.418878227
9100MRSD,0.418206189,0.433755704,0.321316905
9100MSGT,0.304363063,0.425925353,0.487110457
9100MSTN,0.449678144,0.468981808,0.271450023
9100NWTH,0.386917483,0.452949617,0.211034548
9100ORRELL,0.273000499,0.429305511,0.273147995
9100PBRT,0.291087076,0.501719425,0.348030725
9100PTRCRFT,0.422124748,0.501849412,0.438689192
9100REDISHN,0.568399784,0.49112756,0.359596906
9100REDISHS,0.310877063,0.510901373,0.403696497
9100ROHL,0.355390182,0.444083559,0.32467718
9100ROMILEY,0.512448113,0.493197474,0.43758294
9100RYDRBRW,0.45663208,0.509689488,0.532077989
9100SBYD,0.554697281,0.447999793,0.391599042
9100SLFDCT,0.460587762,0.438798043,0.658242653
9100SLFDORD,0.541385461,0.63137788,0.808807909
9100SMBG,0.426451394,0.394482553,0.335523984
9100STKP,0.71674593,0.54662892,0.640770508
9100SWNT,0.382623139,0.508741652,0.341741065
9100TRFDPK,0.368933191,0.49170483,0.49837565
9100URMSTON,0.525806116,0.555297154,0.398738708
9100WALKDEN,0.351263522,0.569568978,0.595784664
9100WIGANNW,0.624839035,0.4197526,0.490715133
9100WIGANWL,0.557108941,0.397806042,0.667906425
9100WMOR,0.453584752,0.473949611,0.249850261
9100WOODLEY,0.439215384,0.433555438,0.329093932
9100WSTHOTN,0.412355221,0.468121497,0.433020146
9400ZZMAABM,0.477181962,0.588336779,0.472248123
9400ZZMAALT,0.6341535,0.569828086,0.489115775
9400ZZMAAMO,0.500756176,0.276858445,0.54825077
