geo_id,Name,total_population,employed_population
1400000US36005000100,"Census Tract 1, Bronx County, New York",6864,0
1400000US36005000200,"Census Tract 2, Bronx County, New York",4532,1547
1400000US36005000400,"Census Tract 4, Bronx County, New York",5516,2916
1400000US36005001600,"Census Tract 16, Bronx County, New York",5825,2140
1400000US36005001900,"Census Tract 19, Bronx County, New York",3141,1390
1400000US36005002000,"Census Tract 20, Bronx County, New York",9040,2616
1400000US36005002300,"Census Tract 23, Bronx County, New York",4302,1385
1400000US36005002400,"Census Tract 24, Bronx County, New York",155,123
1400000US36005002500,"Census Tract 25, Bronx County, New York",5610,2290
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",2608,844
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",4560,1490
1400000US36005002800,"Census Tract 28, Bronx County, New York",5151,2351
1400000US36005003100,"Census Tract 31, Bronx County, New York",1689,889
1400000US36005003300,"Census Tract 33, Bronx County, New York",3277,934
1400000US36005003500,"Census Tract 35, Bronx County, New York",3907,1535
1400000US36005003700,"Census Tract 37, Bronx County, New York",250,121
1400000US36005003800,"Census Tract 38, Bronx County, New York",1350,503
1400000US36005003900,"Census Tract 39, Bronx County, New York",6260,2833
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",1475,618
1400000US36005004100,"Census Tract 41, Bronx County, New York",5942,1981
1400000US36005004200,"Census Tract 42, Bronx County, New York",7697,2976
1400000US36005004300,"Census Tract 43, Bronx County, New York",5552,1836
1400000US36005004400,"Census Tract 44, Bronx County, New York",4401,1091
1400000US36005004600,"Census Tract 46, Bronx County, New York",1961,623
1400000US36005004800,"Census Tract 48, Bronx County, New York",4563,1906
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",4604,1680
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",5592,2109
1400000US36005005100,"Census Tract 51, Bronx County, New York",5737,1915
1400000US36005005200,"Census Tract 52, Bronx County, New York",1956,825
1400000US36005005300,"Census Tract 53, Bronx County, New York",4888,993
1400000US36005005400,"Census Tract 54, Bronx County, New York",5324,2311
1400000US36005005600,"Census Tract 56, Bronx County, New York",2279,851
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",2751,1161
1400000US36005006000,"Census Tract 60, Bronx County, New York",1386,559
1400000US36005006100,"Census Tract 61, Bronx County, New York",3720,1715
1400000US36005006200,"Census Tract 62, Bronx County, New York",7233,2621
1400000US36005006300,"Census Tract 63, Bronx County, New York",4582,2332
1400000US36005006400,"Census Tract 64, Bronx County, New York",3932,1386
1400000US36005006500,"Census Tract 65, Bronx County, New York",5377,2272
1400000US36005006700,"Census Tract 67, Bronx County, New York",6705,2604
1400000US36005006800,"Census Tract 68, Bronx County, New York",3230,1385
1400000US36005006900,"Census Tract 69, Bronx County, New York",7801,3161
1400000US36005007000,"Census Tract 70, Bronx County, New York",4378,1854
1400000US36005007100,"Census Tract 71, Bronx County, New York",2795,1308
1400000US36005007200,"Census Tract 72, Bronx County, New York",6255,2489
1400000US36005007300,"Census Tract 73, Bronx County, New York",4297,1307
1400000US36005007400,"Census Tract 74, Bronx County, New York",3634,1534
1400000US36005007500,"Census Tract 75, Bronx County, New York",6692,2507
1400000US36005007600,"Census Tract 76, Bronx County, New York",5311,2298
1400000US36005007700,"Census Tract 77, Bronx County, New York",2022,797
1400000US36005007800,"Census Tract 78, Bronx County, New York",7415,3244
1400000US36005007900,"Census Tract 79, Bronx County, New York",7188,2226
1400000US36005008300,"Census Tract 83, Bronx County, New York",6713,2789
1400000US36005008400,"Census Tract 84, Bronx County, New York",2899,1290
1400000US36005008500,"Census Tract 85, Bronx County, New York",5631,1974
1400000US36005008600,"Census Tract 86, Bronx County, New York",3936,1339
1400000US36005008700,"Census Tract 87, Bronx County, New York",6127,2171
1400000US36005008900,"Census Tract 89, Bronx County, New York",3218,1185
1400000US36005009000,"Census Tract 90, Bronx County, New York",3459,970
1400000US36005009200,"Census Tract 92, Bronx County, New York",5848,2790
1400000US36005009300,"Census Tract 93, Bronx County, New York",6154,1984
