source,target,id,weight
2,109,0,3
109,157,1,2
157,26,2,2
26,140,3,2
140,43,4,1
43,154,5,2
154,116,6,3
116,158,7,2
158,39,8,3
39,45,9,3
45,150,10,3
150,95,11,3
95,147,12,2
147,162,13,2
162,103,14,5
103,33,15,2
33,114,16,3
114,55,17,2
55,78,18,2
78,149,19,2
149,61,20,2
61,168,21,3
168,118,22,2
118,117,23,1
117,119,24,2
119,46,25,2
46,146,26,4
146,112,27,3
112,102,28,2
102,88,29,2
88,111,30,2
111,135,31,4
135,134,32,3
162,129,33,4
129,1,34,3
1,41,35,2
41,19,36,2
19,76,37,2
76,128,38,1
128,16,39,2
16,170,40,2
170,130,41,3
130,30,42,5
150,54,43,3
54,162,44,3
150,126,45,3
126,125,46,3
125,110,47,3
110,79,48,2
79,52,49,1
52,161,50,3
161,37,51,3
37,51,52,2
51,32,53,3
32,48,54,2
48,10,55,3
10,6,56,2
6,7,57,3
7,8,58,3
156,13,59,2
13,121,60,4
121,163,61,2
163,84,62,3
84,169,63,2
169,127,64,2
127,39,65,3
50,89,66,1
89,165,67,3
165,90,68,3
90,24,69,2
24,99,70,2
99,71,71,2
24,71,72,2
71,3,73,1
3,144,74,2
144,53,75,2
53,127,76,2
49,47,77,2
47,166,78,2
166,29,79,1
29,173,80,2
173,151,81,2
151,36,82,2
36,58,83,1
58,158,84,3
145,123,85,2
123,133,86,2
133,177,87,2
177,40,88,3
40,15,89,1
15,97,90,4
97,138,91,2
138,11,92,1
11,104,93,3
104,176,94,2
176,115,95,2
115,141,96,4
141,12,97,3
12,151,98,2
62,172,99,4
172,85,100,3
85,77,101,3
77,42,102,4
42,68,103,3
68,9,104,2
9,164,105,5
164,105,106,4
105,155,107,2
155,143,108,6.99999965
143,142,109,2
142,162,110,3
77,167,111,10
167,18,112,20
120,124,113,3
124,172,114,4
171,85,115,3
171,27,116,6
171,122,117,24
122,50,118,2
50,162,119,8.99999955
17,80,120,4
80,93,121,3
93,18,122,5
18,106,123,6
106,57,124,2
57,87,125,2
87,38,126,8
38,143,127,5
25,70,128,3
70,18,129,5
92,148,130,2
148,135,131,6
135,31,132,3
31,101,133,5
101,108,134,4
108,162,135,25
50,45,136,6.99999965
143,45,137,4
162,45,138,6
66,107,139,4
107,152,140,4
152,8,141,6.99999965
8,162,142,28.00000187
152,67,143,25
67,56,144,2
56,65,145,1
65,5,146,3
5,4,147,3
4,125,148,3
125,94,149,2
94,45,150,3
67,132,151,12
132,153,152,6
23,72,153,3
72,64,154,2
64,113,155,2
113,60,156,2
60,67,157,3
137,136,158,3
96,136,159,4
136,174,160,4
174,82,161,3
82,83,162,3
83,67,163,4
136,21,164,3
21,22,165,3
22,131,166,4
131,139,167,2
139,14,168,2
14,5,169,3
100,73,170,4
73,175,171,2
175,44,172,2
44,153,173,5
153,75,174,4
75,91,175,3
91,125,176,6
74,63,177,3
63,49,178,2
49,28,179,3
28,98,180,2
98,125,181,6
69,2,182,3
109,153,183,14.00000093
86,59,184,4
59,34,185,2
34,160,186,2
160,81,187,3
81,159,188,2
159,45,189,8
20,35,190,5
35,153,191,5
