from,Type,to,type.y,weighted,NPTREF.x,latitude.x,longitude.x,NPTREF.y,latitude.y,longitude.y
Altrincham,metrolink,Navigation Road,interchange,20,9400ZZMAALT,53.387452,-2.347277,9400ZZMANAV,53.395723,-2.343329
Eccles,railway,Victoria,interchange,6.666667,9400ZZMAECC,53.482893,-2.334584,9400ZZMAVIC,53.487394,-2.241948
Eccles,railway,Deansgate - Castlefield,interchange,8.571429,9400ZZMAECC,53.482893,-2.334584,9400ZZMAGMX,53.474747,-2.251098
Victoria,metrolink,Deansgate - Castlefield,interchange,10,9400ZZMAVIC,53.487394,-2.241948,9400ZZMAGMX,53.474747,-2.251098
Ashton-Under-Lyne,railway,Victoria,interchange,2.142857,9400ZZMAAUL,53.490341,-2.098032,9400ZZMAVIC,53.487394,-2.241948
Cornbrook,metrolink,Deansgate - Castlefield,interchange,20,9400ZZMACRN,53.469992,-2.267581,9400ZZMAGMX,53.474747,-2.251098
Shudehill,metrolink,Victoria,interchange,30,9400ZZMASHU,53.48529,-2.23908,9400ZZMAVIC,53.487394,-2.241948
Rochdale Railway Station,railway,Rochdale,railway,20,9400ZZMARRS,53.611021,-2.154447,9400ZZMARIN,53.61733,-2.155317
Exchange Square,metrolink,Victoria,interchange,20,9400ZZMAEXS,53.484471,-2.24267,9400ZZMAVIC,53.487394,-2.241948
Piccadilly Gardens,metrolink,Piccadilly,interchange,20,9400ZZMAPGD,53.480222,-2.23686,9400ZZMAPIC,53.477214,-2.230952
Ashton West,metrolink,Ashton-Under-Lyne,interchange,20,9400ZZMAAWT,53.490241,-2.109727,9400ZZMAAUL,53.490341,-2.098032
SALFORD CENTRAL,railway,Victoria,interchange,20,9100SLFDORD,53.482845,-2.255545,9400ZZMAVIC,53.487394,-2.241948
PATRICROFT,railway,Eccles,interchange,30,9100PTRCRFT,53.484868,-2.356857,9400ZZMAECC,53.482893,-2.334584
MOSTON,railway,Victoria,interchange,2.4,9100MSTN,53.523336,-2.171021,9400ZZMAVIC,53.487394,-2.241948
SALFORD CRESCENT,railway,Deansgate - Castlefield,interchange,15,9100SLFDCT,53.486485,-2.275777,9400ZZMAGMX,53.474747,-2.251098
STALYBRIDGE,railway,Ashton-Under-Lyne,interchange,8.571429,9100SBYD,53.484387,-2.063328,9400ZZMAAUL,53.490341,-2.098032
ARDWICK,railway,Piccadilly,interchange,20,9100ARDWICK,53.471206,-2.213369,9400ZZMAPIC,53.477214,-2.230952
MANCHESTER OXFORD ROAD,railway,Deansgate - Castlefield,interchange,20,9100MNCROXR,53.473785,-2.242248,9400ZZMAGMX,53.474747,-2.251098
LEVENSHULME,railway,Piccadilly,interchange,10,9100LVHM,53.444384,-2.192744,9400ZZMAPIC,53.477214,-2.230952
GATLEY,railway,East Didsbury,interchange,30,9100GATLEY,53.392929,-2.230828,9400ZZMAEDY,53.412055,-2.217255
MAULDETH ROAD,railway,Piccadilly,interchange,10,9100MLDTHRD,53.433508,-2.208966,9400ZZMAPIC,53.477214,-2.230952
HALE,railway,Altrincham,interchange,20,9100HALE,53.378516,-2.347489,9400ZZMAALT,53.387452,-2.347277
TRAFFORD PARK,railway,Deansgate - Castlefield,interchange,7.5,9100TRFDPK,53.454785,-2.3117,9400ZZMAGMX,53.474747,-2.251098
Navigation Road,metrolink,Timperley,metrolink,30,9400ZZMANAV,53.395723,-2.343329,9400ZZMATIM,53.40452,-2.338256
Deansgate - Castlefield,metrolink,St Peter's Square,metrolink,20,9400ZZMAGMX,53.474747,-2.251098,9400ZZMASTP,53.478215,-2.243117
Victoria,metrolink,Monsall,metrolink,12,9400ZZMAVIC,53.487394,-2.241948,9400ZZMAMON,53.50108,-2.210685
Victoria,metrolink,Queens Road,metrolink,15,9400ZZMAVIC,53.487394,-2.241948,9400ZZMAQRD,53.501707,-2.226653
Piccadilly,metrolink,New Islington,metrolink,20,9400ZZMAPIC,53.477214,-2.230952,9400ZZMANIS,53.481082,-2.219777
Eccles,metrolink,Ladywell,metrolink,60,9400ZZMAECC,53.482893,-2.334584,9400ZZMALDY,53.483993,-2.326757
East Didsbury,metrolink,Didsbury Village,metrolink,30,9400ZZMAEDY,53.412055,-2.217255,9400ZZMADID,53.416743,-2.228564
Timperley,metrolink,Brooklands,metrolink,30,9400ZZMATIM,53.40452,-2.338256,9400ZZMABKS,53.417102,-2.326109
Brooklands,metrolink,Sale,metrolink,30,9400ZZMABKS,53.417102,-2.326109,9400ZZMASLE,53.424438,-2.318852
Sale,metrolink,Dane Road,metrolink,60,9400ZZMASLE,53.424438,-2.318852,9400ZZMADNE,53.43031,-2.311326
Dane Road,metrolink,Stretford,metrolink,30,9400ZZMADNE,53.43031,-2.311326,9400ZZMASFD,53.446086,-2.303793
Stretford,metrolink,Old Trafford,metrolink,20,9400ZZMASFD,53.446086,-2.303793,9400ZZMAOLD,53.456435,-2.284559
Old Trafford,metrolink,Trafford Bar,metrolink,30,9400ZZMAOLD,53.456435,-2.284559,9400ZZMATRA,53.461845,-2.277049
Trafford Bar,metrolink,Cornbrook,metrolink,20,9400ZZMATRA,53.461845,-2.277049,9400ZZMACRN,53.469992,-2.267581
Monsall,metrolink,Central Park,metrolink,30,9400ZZMAMON,53.50108,-2.210685,9400ZZMACTP,53.501621,-2.19923
Central Park,metrolink,Newton Heath & Moston,metrolink,20,9400ZZMACTP,53.501621,-2.19923,9400ZZMANEW,53.504125,-2.184648
Newton Heath & Moston,metrolink,Failsworth,metrolink,30,9400ZZMANEW,53.504125,-2.184648,9400ZZMAFWH,53.510619,-2.162932
Failsworth,metrolink,Hollinwood,metrolink,30,9400ZZMAFWH,53.510619,-2.162932,9400ZZMAHOL,53.519844,-2.147494
Hollinwood,metrolink,South Chadderton,metrolink,30,9400ZZMAHOL,53.519844,-2.147494,9400ZZMASCH,53.526516,-2.145269
South Chadderton,metrolink,Freehold,metrolink,30,9400ZZMASCH,53.526516,-2.145269,9400ZZMAFRE,53.537616,-2.13817
Freehold,metrolink,Westwood,metrolink,20,9400ZZMAFRE,53.537616,-2.13817,9400ZZMAWWD,53.542321,-2.125871
Westwood,metrolink,Oldham King Street,metrolink,30,9400ZZMAWWD,53.542321,-2.125871,9400ZZMAOKS,53.539571,-2.117187
Oldham King Street,metrolink,Oldham Central,metrolink,60,9400ZZMAOKS,53.539571,-2.117187,9400ZZMAOMC,53.540277,-2.112179
